ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
1/1/2010,45,25504,538,Employed,Master,24,22710,60,Married,3,Rent,713,0.198491293,1,0,0.309829749,0,Auto,0,22,2,3502,611,23503,20934,2125.333333,0.553988659,4,2569,0.25871,0.251164602,668.1200029,0.64983689,0,59
1/2/2010,38,29667,494,Employed,High School,14,17824,36,Married,2,Other,493,0.16913566,5,2,0.521168582,0,Debt Consolidation,0,26,2,3144,857,87305,9826,2472.25,0.734781644,8,77479,0.255824,0.2046592,666.6426837,0.46906368,0,61
1/3/2010,47,74928,616,Employed,High School,22,10875,48,Single,0,Mortgage,295,0.069417444,5,3,0.46608645,0,Auto,0,22,17,3033,253,123295,19067,6244,0.830770496,7,104228,0.197875,0.22685013,346.6856633,0.102768364,1,38.4
1/4/2010,58,126821,658,Self-Employed,Bachelor,34,23669,60,Married,0,Mortgage,387,0.095827787,2,0,0.258557438,0,Other,0,28,25,123,2971,34715,9667,10568.41667,0.640388353,1,25048,0.199669,0.199580762,626.5317329,0.095901947,1,36.8
1/5/2010,37,60126,595,Employed,Associate,11,17508,60,Divorced,1,Mortgage,400,0.051138019,1,0,0.108641538,0,Auto,0,27,28,2649,687,147912,72423,5010.5,0.869676135,7,75489,0.225008,0.220707134,484.2560895,0.176480609,1,37.6
1/6/2010,37,70147,627,Employed,Bachelor,14,33555,60,Married,3,Rent,804,0.587536686,4,0,0.164898318,0,Auto,0,21,19,1315,2002,18450,34630,5845.583333,0.670027178,7,9251,0.225055,0.229347825,944.6743761,0.299144547,0,48
1/7/2010,58,78446,627,Employed,Master,38,22776,60,Married,0,Own,347,0.408699752,3,0,0.088154236,0,Debt Consolidation,0,22,6,13530,458,35290,19432,6537.166667,0.64868142,8,15858,0.214276,0.200852634,604.5057395,0.145553232,1,40
1/8/2010,49,76208,653,Employed,Doctorate,24,64262,36,Married,0,Own,398,0.130359646,3,1,0.069287957,0,Debt Consolidation,0,21,28,1697,1029,982399,102756,6350.666667,0.737032975,4,879643,0.222762,0.210775765,2423.635533,0.444305406,1,28
1/9/2010,34,88825,492,Employed,Bachelor,13,16675,84,Married,0,Mortgage,404,0.145154268,1,2,0.44981176,0,Debt Consolidation,0,29,13,9427,2978,51838,62959,7402.083333,0.579197961,8,2777,0.295675,0.261268568,434.159398,0.113232905,1,43.2
1/10/2010,46,15000,587,Employed,Bachelor,22,39589,12,Divorced,0,Mortgage,1016,0.452369829,6,2,0.108397725,0,Other,0,19,3,619,3018,27829,10401,1250,0.865545082,2,17428,0.211089,0.206967135,3680.521111,3.757216889,0,56
1/11/2010,34,41576,550,Employed,High School,8,18488,36,Married,3,Other,588,0.767371286,2,0,0.433162844,0,Debt Consolidation,0,27,28,387,1697,72304,18511,3464.666667,0.990756754,6,53793,0.228488,0.206778159,693.4820767,0.369871679,0,57
1/12/2010,34,20565,466,Employed,High School,11,20732,24,Single,0,Mortgage,544,0.066374395,3,1,0.302424803,0,Home,1,29,28,2502,290,488039,10735,1713.75,0.920005717,8,477304,0.262732,0.266009569,1123.221094,0.972849654,0,55
1/13/2010,42,102332,555,Employed,Bachelor,22,32148,60,Single,2,Mortgage,427,0.246662985,4,1,0.23348444,0,Debt Consolidation,0,28,17,2726,656,34201,48478,8527.666667,0.713248259,4,7048,0.259648,0.242490182,929.485066,0.159068725,1,40.8
1/14/2010,18,40908,546,Employed,Associate,0,13754,36,Single,0,Rent,324,0.443510188,2,0,0.194707427,0,Auto,0,26,25,11743,113,28373,24929,3409,0.873438322,2,3444,0.225754,0.231205332,533.2779535,0.251474906,0,52
1/15/2010,19,35356,553,Unemployed,Associate,0,39907,36,Married,1,Rent,689,0.111848441,5,0,0.414867949,0,Education,1,21,28,644,2463,183376,13857,2946.333333,0.439583402,4,169519,0.248407,0.251297901,1589.436047,0.773312382,0,61
1/16/2010,33,18811,513,Employed,Associate,11,31140,48,Single,0,Own,334,0.356488536,5,1,0.043046579,0,Auto,0,32,21,1372,936,72507,26825,1567.583333,0.888597801,6,45682,0.26964,0.308279871,1136.272278,0.937922882,0,52
1/17/2010,27,89494,622,Employed,Bachelor,4,32716,60,Single,0,Mortgage,1035,0.288328289,4,2,0.11926374,0,Education,0,27,7,1222,311,475052,61226,7457.833333,0.793609345,3,413826,0.226716,0.186498712,842.3806534,0.251732718,1,32.8
1/18/2010,43,62070,534,Unemployed,High School,19,35167,60,Married,2,Own,442,0.300708389,3,0,0.190931298,0,Home,0,30,12,1466,1815,25757,34499,5172.5,0.855886556,5,9797,0.273167,0.261535684,1056.116049,0.289630942,0,53
1/19/2010,29,117164,578,Employed,Bachelor,5,29416,60,Married,1,Rent,561,0.427606167,4,3,0.518629548,0,Other,0,27,18,1966,664,15374,35068,5801.75,0.936645314,5,9603,0.245416,0.24538507,855.4579957,0.244143232,0,58
1/20/2010,23,22625,542,Employed,High School,0,30950,120,Married,1,Mortgage,408,0.115107513,1,1,0.228075657,0,Home,0,25,18,2484,562,18735,8029,1885.416667,0.984223999,8,10706,0.31495,0.257502007,720.5253941,0.598554905,0,53
1/21/2010,57,34571,602,Employed,High School,35,42539,84,Married,0,Rent,1547,0.224917386,4,0,0.334392824,0,Home,0,23,7,6586,2347,95518,8804,2880.916667,0.724283379,6,86714,0.266539,0.238664638,1046.095606,0.900093931,0,51
1/22/2010,37,44537,518,Employed,Associate,15,22088,36,Married,2,Mortgage,241,0.411920399,2,0,0.419186827,0,Debt Consolidation,0,20,14,5900,16266,286564,100214,3711.416667,0.844382075,5,186350,0.248088,0.239787857,866.3292363,0.298357564,0,54
1/23/2010,40,26801,500,Employed,High School,16,20143,72,Widowed,3,Mortgage,337,0.51152456,3,0,0.280143749,0,Debt Consolidation,0,26,4,3349,3319,50204,14132,2233.416667,0.709492432,9,36072,0.285143,0.337418458,655.3866473,0.44433565,0,58
1/24/2010,22,60845,525,Employed,Master,0,28055,60,Single,0,Own,256,0.472021752,2,0,0.225984988,0,Education,0,32,14,1735,971,67405,43991,5070.416667,0.809996203,3,23414,0.270555,0.286060977,883.8022913,0.224794601,0,53
1/25/2010,33,15000,427,Employed,High School,11,23156,24,Divorced,1,Other,219,0.552370734,5,1,0.457025007,0,Debt Consolidation,0,31,27,7124,398,130766,114425,1250,0.758655621,5,16341,0.284656,0.275461969,1265.649561,1.187719649,0,59
1/26/2010,41,28027,523,Employed,High School,16,35163,12,Single,1,Mortgage,481,0.626398572,1,2,0.333180576,0,Debt Consolidation,0,30,2,746,727,32071,59072,2335.583333,0.805938344,5,8710,0.238663,0.257844959,3355.440021,1.64260464,0,62
1/27/2010,26,122361,411,Employed,Bachelor,4,55972,72,Married,3,Own,331,0.48136053,4,1,0.167993176,0,Auto,0,24,11,1633,2094,31899,12927,10196.75,0.74732055,3,18972,0.365472,0.342868629,1841.502818,0.213058359,0,49
1/28/2010,44,70024,581,Employed,Associate,23,13726,48,Married,0,Rent,343,0.27947436,4,2,0.275455739,0,Education,0,25,11,5572,433,8254,46241,5835.333333,0.631325656,0,1094,0.218226,0.231582065,441.1291092,0.134376061,0,52
1/29/2010,32,41403,586,Employed,High School,11,23135,60,Single,4,Other,352,0.456728853,2,0,0.065621663,0,Home,0,22,5,1592,299,185319,69614,3450.25,0.771633065,9,115705,0.235135,0.225196929,645.8181979,0.289201709,0,50
1/30/2010,36,126190,544,Unemployed,High School,15,12943,36,Married,3,Other,414,0.263499793,2,2,0.626817484,0,Other,0,27,28,4854,4892,113564,24962,10515.83333,0.414471536,3,88602,0.225943,0.259570163,521.1851866,0.088931153,1,45.6
1/31/2010,32,15000,629,Self-Employed,Doctorate,10,19826,96,Divorced,0,Own,198,0.637201446,4,0,0.070429419,0,Education,0,22,5,9946,1385,49246,30216,1250,0.951325828,3,19030,0.240326,0.240296862,466.557293,0.531645834,0,56
2/1/2010,62,30682,573,Employed,Bachelor,37,20448,60,Divorced,1,Mortgage,227,0.10707815,1,2,0.193839271,0,Home,0,20,8,1551,2750,250689,35521,2556.833333,0.938382142,1,215168,0.238948,0.237056399,584.7588623,0.317486029,0,47
2/2/2010,39,29378,584,Employed,Associate,18,18125,96,Married,2,Mortgage,215,0.84611838,3,0,0.149591446,0,Home,0,24,21,7770,663,48878,111851,2448.166667,0.813896954,4,5836,0.261125,0.282765398,478.2135185,0.283156179,0,55
2/3/2010,27,67017,603,Employed,Associate,4,34625,24,Married,2,Own,423,0.042475764,2,3,0.461805786,0,Education,0,20,16,1072,1584,561578,10366,5584.75,0.847603492,7,551212,0.208125,0.21019264,1779.555805,0.394387538,1,35.2
2/4/2010,49,67229,469,Employed,High School,28,26353,60,Single,2,Mortgage,419,0.485823751,2,0,0.279093626,0,Education,0,23,5,27073,269,151200,163305,5602.416667,0.846258889,6,7099,0.296853,0.29700062,847.7603548,0.226109629,0,55
2/5/2010,25,21021,533,Employed,Associate,3,16320,60,Single,1,Rent,406,0.200485502,1,0,0.614478451,0,Auto,0,24,28,5626,566,21758,76064,1751.75,0.84548151,6,8489,0.25482,0.239086017,468.6278086,0.499288031,0,60
2/6/2010,42,103142,611,Employed,Bachelor,23,34657,24,Single,4,Rent,517,0.485612923,5,1,0.356858398,0,Debt Consolidation,0,24,22,1757,1239,65888,51004,8595.166667,0.875157292,2,14884,0.204157,0.182922438,1735.11733,0.262021368,1,40.8
2/7/2010,18,40309,544,Employed,Master,0,20805,36,Married,0,Rent,478,0.073773347,2,1,0.144839461,0,Home,0,22,3,2553,2324,71232,74144,3359.083333,0.836875237,7,3963,0.233805,0.234938888,810.7210977,0.383652613,0,53
2/8/2010,24,82678,478,Employed,High School,2,16880,36,Married,0,Mortgage,182,0.348808578,4,3,0.181053881,0,Auto,0,29,22,1614,519,298223,13802,6889.833333,0.936285227,10,284421,0.26288,0.236107328,658.8054177,0.122035669,1,34.4
2/9/2010,42,33304,590,Employed,Master,18,13237,120,Married,5,Mortgage,379,0.310767451,1,0,0.135061303,0,Education,1,18,3,18588,3218,21806,4501,2775.333333,0.954305074,3,17305,0.273237,0.25058364,301.6772658,0.245259644,0,60
2/10/2010,48,47389,603,Employed,High School,25,10587,48,Married,2,Mortgage,442,0.723068076,3,0,0.103777562,0,Auto,0,26,27,1182,516,147603,23172,3949.083333,0.881872258,6,124431,0.204087,0.215903522,331.2047988,0.195793488,0,46
2/11/2010,42,25988,604,Employed,High School,22,17457,36,Married,2,Rent,242,0.134351718,5,0,0.652165269,0,Home,1,21,16,14987,771,22029,46970,2165.666667,0.766081439,8,3797,0.200457,0.225012816,671.2263417,0.421683704,0,62
